abashment	 abashment, bashfulness 
approval	 approval 
approval	 approve 
approval	 approved 
approval	 approving, approbative, approbatory, plausive 
astonishment	 amaze, astonish, astound 
astonishment	 amazed, astonied, astonished, astounded, stunned 
astonishment	 amazing, astonishing 
astonishment	 astonishment, amazement 
attachment	 attachment, fond_regard 
attrition	 attrition, contrition, contriteness 
attrition	 contrite 
attrition	 ruefully, contritely, remorsefully 
awe	 awe 
awe	 awe 
awe	 awed, awestruck, awestricken, in_awe_of 
awe	 awed, awful 
bad-temper	 bad_temper, ill_temper 
bang	 bang, boot, charge, rush, flush, thrill, kick 
belligerence	 aggressive, belligerent 
belligerence	 belligerence, belligerency 
belonging	 belonging 
beneficence	 benefic 
beneficence	 beneficed 
beneficence	 beneficence 
beneficence	 beneficent 
beneficence	 beneficially 
benevolence	 benevolence 
benevolence	 benevolently 
blue-devils	 blues, blue_devils, megrims, vapors, vapours 
bonheur	 bonheur 
brotherhood	 brotherhood 
brotherhood	 brotherly, brotherlike, fraternal 
buck-fever	 buck_fever 
buoyancy	 buoyancy, perkiness 
calmness	 Department_of_Defense, Defense_Department, United_States_Department_of_Defense, Defense, DoD 
calmness	 assertive 
calmness	 assertively 
calmness	 assuasive, calming, pacifying, soothing 
calmness	 assuasive, calming, pacifying, soothing 
calmness	 audacious, brave, dauntless, fearless, intrepid, unfearing 
calmness	 birth, nativity, nascency, nascence 
calmness	 bold 
calmness	 calm 
calmness	 calm, calm_down, quiet, tranquilize, tranquillize, tranquillise, quieten, lull, still 
calmness	 calm, calm_down, quiet, tranquilize, tranquillize, tranquillise, quieten, lull, still 
calmness	 calm, unagitated, serene, tranquil 
calmness	 calming, lulling, quietening 
calmness	 calming, lulling, quietening 
calmness	 calmly 
calmness	 calmly 
calmness	 calmness 
calmness	 calmness 
calmness	 cold 
calmness	 condom, rubber, safety, safe, prophylactic 
calmness	 confidence 
calmness	 conventional 
calmness	 convinced(p), positive(p), confident(p) 
calmness	 cool 
calmness	 cool 
calmness	 cool, chill, cool_down 
calmness	 coolness, imperturbability, imperturbableness 
calmness	 defensive 
calmness	 doughty, hardy 
calmness	 easiness, relaxation 
calmness	 easy 
calmness	 fearlessly, dauntlessly, intrepidly 
calmness	 fearlessness, bravery 
calmness	 hero 
calmness	 idle 
calmness	 innocent, guiltless, clean-handed 
calmness	 kind 
calmness	 languor, dreaminess 
calmness	 nonfatal 
calmness	 nonslippery 
calmness	 open 
calmness	 pacific, peaceable 
calmness	 patient 
calmness	 patiently, with_patience 
calmness	 peace, peacefulness, peace_of_mind, repose, serenity, heartsease, ataraxis 
calmness	 peaceable, peace-loving 
calmness	 peaceably, pacifically 
calmness	 peaceful 
calmness	 placid, quiet, still, tranquil, smooth, unruffled 
calmness	 placidity, placidness 
calmness	 placidly 
calmness	 plaintiff, complainant 
calmness	 protected, secure 
calmness	 reassure 
calmness	 reassure, assure 
calmness	 reassured 
calmness	 reassuring 
calmness	 reassuringly 
calmness	 safe 
calmness	 safety 
calmness	 secure, unafraid, untroubled 
calmness	 securely 
calmness	 security 
calmness	 security 
calmness	 still, allay, relieve, ease 
calmness	 tolerable 
calmness	 tranquillity, tranquility, quietness, quietude 
calmness	 tranquilly 
calmness	 unafraid(p), fearless 
calmness	 unconcerned 
calmness	 unhesitating, resolute 
calmness	 unhesitatingly 
calmness	 unneurotic 
calmness	 war, state_of_war 
captivation	 beguiled, captivated, charmed, delighted, enthralled, entranced 
captivation	 bewitching, captivating, enchanting, enthralling, entrancing, fascinating 
captivation	 captivated, charmed 
captivation	 captivation, enchantment, enthrallment, fascination 
captivation	 capture, enamour, trance, catch, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant 
carefreeness	 carefree, unworried 
carefreeness	 carefreeness, insouciance, lightheartedness, lightsomeness 
chagrin	 chagrin, humiliation, mortification 
cheerfulness	 cheer 
cheerfulness	 cheer, cheer_up, chirk_up 
cheerfulness	 cheer, cheer_up, jolly_along, jolly_up 
cheerfulness	 cheer, hearten, recreate, embolden 
cheerfulness	 cheer, inspire, urge, barrack, urge_on, exhort, pep_up 
cheerfulness	 cheerful 
cheerfulness	 cheerfully 
cheerfulness	 cheerfulness, blitheness 
cheerlessness	 cheerless, uncheerful 
cheerlessness	 cheerlessly 
cheerlessness	 cheerlessness, uncheerfulness 
chill	 chill 
chill	 chill, pall 
class-feeling	 class_feeling 
closeness	 close 
closeness	 closeness, intimacy 
closeness	 near, nigh, close 
comfortableness	 comfort, soothe, console, solace 
comfortableness	 comfortable 
comfortableness	 comfortableness 
comfortableness	 comfortably 
commiseration	 commiserate, sympathize, sympathise 
commiseration	 commiseration, pity, ruth, pathos 
compassion	 compassion, compassionateness 
compassion	 compassionate 
compassion	 compassionate 
compassion	 feel_for, pity, compassionate, condole_with, sympathize_with 
compatibility	 compatibility 
compatibility	 compatible, sympathetic 
compatibility	 compatibly 
complacency	 complacency, complacence, self-complacency, self-satisfaction 
complacency	 complacent, self-satisfied, self-complacent 
compunction	 compunction, remorse, self-reproach 
confidence	 confidence 
confidence	 convinced(p), positive(p), confident(p) 
confusion	 broken, confused, disordered, upset 
confusion	 confuse, flurry, disconcert, put_off 
confusion	 confusedly 
confusion	 confusing 
confusion	 confusion, discombobulation 
conscience	 conscience 
contempt	 contempt, disdain, scorn, despite 
contentment	 content 
contentment	 content 
contentment	 contented, content 
contentment	 contentment 
coolness	 cold 
coolness	 cool 
coolness	 cool 
coolness	 cool, chill, cool_down 
coolness	 coolness, imperturbability, imperturbableness 
covetousness	 avaricious, covetous, grabby, grasping, greedy, prehensile 
covetousness	 covet 
covetousness	 covetousness 
creeps	 creeps 
creeps	 fawn, crawl, creep, cringe, cower, grovel 
cruelty	 cruelly 
cruelty	 cruelty, mercilessness, pitilessness, ruthlessness 
cruelty	 unkind 
cynicism	 cynical, misanthropic, misanthropical 
cynicism	 cynicism 
dander	 dander, hackles 
daze	 daze, shock, stupor 
daze	 dazzling, eye-popping, fulgurant, fulgurous 
daze	 dazzlingly 
daze	 stun, bedaze, daze 
defeatism	 defeated, disappointed, discomfited, foiled, frustrated, thwarted 
defeatism	 defeatism 
defeatism	 get_the_better_of, overcome, defeat 
demoralization	 demoralization, demoralisation 
demoralization	 demoralizing, demoralising, disheartening, dispiriting 
depression	 depress, deject, cast_down, get_down, dismay, dispirit, demoralize, demoralise 
depression	 depression 
despair	 despair 
despair	 despair 
despair	 despair 
despair	 despair 
despair	 despairing, desperate 
despair	 discourage 
despair	 discouraging 
despair	 discouragingly 
despair	 hopeless 
despair	 hopelessly 
despair	 hopelessness 
despair	 pessimism 
despair	 pessimistic 
despair	 pessimistically 
despair	 undedicated 
despair	 unsupportive 
despair-intimidation	 intimidation 
despisal	 contemn, despise, scorn, disdain 
despisal	 despisal, despising 
despondency	 despairingly, despondently 
despondency	 despondency, despondence, heartsickness, disconsolateness 
despondency	 despondent, heartsick 
devotion	 devoted 
devotion	 devotion, devotedness 
diffidence	 diffidence, self-doubt, self-distrust 
diffidence	 diffident 
diffidence	 diffidently 
disapproval	 disapproval 
disapproval	 disapprove, reject 
disapproval	 disapproving 
disapproval	 discouraging 
discomfiture	 discomfiture, discomposure, disconcertion, disconcertment 
discomfiture	 upset, discompose, untune, disconcert, discomfit 
discouragement	 demoralized, demoralised, discouraged, disheartened 
discouragement	 discourage 
discouragement	 discouragement, disheartenment, dismay 
discouragement	 discouraging 
disgust	 Colt 
disgust	 abandon, wantonness, unconstraint 
disgust	 abashed, chagrined, embarrassed 
disgust	 abashment, bashfulness 
disgust	 abhor, loathe, abominate, execrate 
disgust	 abhorrence, abomination, detestation, execration, loathing, odium 
disgust	 abhorrent, detestable, obscene, repugnant, repulsive 
disgust	 abominable, detestable, execrable, odious 
disgust	 abridge, foreshorten, abbreviate, shorten, cut, contract, reduce 
disgust	 absurd, cockeyed, derisory, idiotic, laughable, ludicrous, nonsensical, preposterous, ridiculous 
disgust	 accurately 
disgust	 action, sue, litigate, process 
disgust	 adolescent, jejune, juvenile, puerile 
disgust	 afraid 
disgust	 ageless, aeonian, eonian, eternal, everlasting, perpetual, unending, unceasing 
disgust	 aggravated, provoked 
disgust	 aggravation, exasperation 
disgust	 aggression, aggressiveness 
disgust	 aggressive, belligerent 
disgust	 agitate, vex, disturb, commove, shake_up, stir_up, raise_up 
disgust	 airheaded, dizzy, empty-headed, featherbrained, giddy, light-headed, lightheaded, silly 
disgust	 alienated, anomic, disoriented 
disgust	 alienated, estranged 
disgust	 alienation, disaffection, estrangement 
disgust	 amok, amuck, murderously 
disgust	 amuck, amok, berserk, demoniac, demoniacal, possessed(p) 
disgust	 anger 
disgust	 anger, choler, ire 
disgust	 anger, see_red 
disgust	 angered, enraged, furious, infuriated, maddened 
disgust	 angrily 
disgust	 angry 
disgust	 animosity, animus, bad_blood 
disgust	 annoy, rag, get_to, bother, get_at, irritate, rile, nark, nettle, gravel, vex, chafe, devil 
disgust	 annoyance, annoying, irritation, vexation 
disgust	 annoyance, chafe, vexation 
disgust	 annoyed, harassed, harried, pestered, vexed 
disgust	 annoyed, irritated, miffed, nettled, peeved, pissed, pissed_off, riled, roiled, steamed, stung 
disgust	 annoying, bothersome, galling, irritating, nettlesome, pesky, pestering, pestiferous, plaguy, plaguey, teasing, vexatious, vexing 
disgust	 antagonism 
disgust	 antipathy, aversion, distaste 
disgust	 appalling, dismaying 
disgust	 appoint, charge 
disgust	 argument, argumentation, debate 
disgust	 arrant(a), complete(a), consummate(a), double-dyed(a), everlasting(a), gross(a), perfect(a), pure(a), sodding(a), stark(a), staring(a), thoroughgoing(a), utter(a), unadulterated 
disgust	 arrest, check, halt, hitch, stay, stop, stoppage 
disgust	 arrogant, chesty, self-important 
disgust	 artful 
disgust	 artificial, unreal 
disgust	 ashamed(p) 
disgust	 assume, usurp, seize, take_over, arrogate 
disgust	 avaricious, covetous, grabby, grasping, greedy, prehensile 
disgust	 awkward, embarrassing, sticky, unenviable 
disgust	 bad 
disgust	 bad, badness 
disgust	 bad_temper, ill_temper 
disgust	 baffling, knotty, problematic, problematical, tough 
disgust	 bally(a), blinking(a), bloody(a), blooming(a), crashing(a), flaming(a), fucking(a) 
disgust	 banal, commonplace, hackneyed, old-hat, shopworn, stock(a), threadbare, timeworn, tired, trite, well-worn 
disgust	 bang 
disgust	 bang, slap, slapdash, smack, bolt 
disgust	 bantam, diminutive, lilliputian, midget, petite, tiny, flyspeck 
disgust	 bare, unfinished 
disgust	 basement, cellar 
disgust	 bathetic, drippy, hokey, maudlin, mawkish, mushy, schmaltzy, schmalzy, sentimental, soppy, soupy, slushy 
disgust	 beat 
disgust	 beat, scramble 
disgust	 begrimed, dingy, grimy, grubby, grungy, raunchy 
disgust	 belligerence, belligerency 
disgust	 belligerently, hostilely, with_hostility 
disgust	 bent, crumpled, dented 
disgust	 berth, bunk, built_in_bed 
disgust	 big_cat, cat 
disgust	 bite, seize_with_teeth 
disgust	 black, disgraceful, ignominious, inglorious, opprobrious, shameful 
disgust	 blame, fault 
disgust	 bleaching_agent, bleach, blanching_agent, whitener 
disgust	 bleak, cutting, raw 
disgust	 blemish, defect, mar 
disgust	 blockage, block, closure, occlusion, stop, stoppage 
disgust	 blockage, closure, occlusion 
disgust	 blow 
disgust	 boisterous, rambunctious, robustious, rumbustious, unruly 
disgust	 bore, drill 
disgust	 boring, deadening, dull, ho-hum, irksome, slow, tedious, tiresome, wearisome 
disgust	 bottom(a) 
disgust	 brainsick, crazy, demented, distracted, disturbed, mad, sick, unbalanced, unhinged 
disgust	 break 
disgust	 broken, confused, disordered, upset 
disgust	 brood, hover, loom, bulk_large 
disgust	 bug, glitch 
disgust	 bulky 
disgust	 bumper 
disgust	 buttery, fulsome, oily, oleaginous, smarmy, soapy, unctuous 
disgust	 cancellation 
disgust	 cast-off(a), discarded, throwaway(a), thrown-away(a) 
disgust	 cave, undermine 
disgust	 censure, animadversion 
disgust	 chagrin, humiliation, mortification 
disgust	 charge, accuse 
disgust	 charge, bearing, heraldic_bearing, armorial_bearing 
disgust	 charge, bill 
disgust	 charge, complaint 
disgust	 cheapjack, shoddy, tawdry 
disgust	 check, turn_back, arrest, stop, contain, hold_back 
disgust	 choleric, irascible 
disgust	 cigarette, cigaret, coffin_nail, butt, fag 
disgust	 claim 
disgust	 clash 
disgust	 class_feeling 
disgust	 classicist 
disgust	 close 
disgust	 closure, closedown, closing, shutdown 
disgust	 cloudy, muddy, mirky, murky, turbid 
disgust	 coarse, harsh 
disgust	 cockamamie, cockamamy, goofy, sappy, silly, wacky, whacky, zany 
disgust	 coerce, hale, squeeze, pressure, force 
disgust	 cold 
disgust	 coldhearted 
disgust	 coldness, cold, low_temperature, frigidity, frigidness 
disgust	 collar, nail, apprehend, arrest, pick_up, nab, cop 
disgust	 collectible, collectable, payable 
disgust	 commute 
disgust	 complex 
disgust	 condemn 
disgust	 condemn 
disgust	 condemn, reprobate, decry, objurgate, excoriate 
disgust	 confine, detain 
disgust	 confuse, flurry, disconcert, put_off 
disgust	 confused, disconnected, disjointed, disordered, garbled, illogical, scattered, unconnected 
disgust	 confusedly 
disgust	 confusing 
disgust	 confusion, discombobulation 
disgust	 conscience 
disgust	 contemn, despise, scorn, disdain 
disgust	 contempt, disdain, scorn, despite 
disgust	 conviction, judgment_of_conviction, condemnation, sentence 
disgust	 cool 
disgust	 cooling_system, cooling 
disgust	 costly, dear(p), high-priced, pricey, pricy 
disgust	 covet 
disgust	 covetous, envious, jealous 
disgust	 covetousness 
disgust	 crack, check, break 
disgust	 crackdown 
disgust	 craftily, cunningly, foxily, knavishly, slyly, trickily, artfully 
disgust	 crafty, cunning, dodgy, foxy, guileful, knavish, slick, sly, tricksy, tricky, wily 
disgust	 cramped 
disgust	 crash 
disgust	 crash, wreck 
disgust	 crazy 
disgust	 crippled, halt, halting, lame, gimpy, game 
disgust	 crouch 
disgust	 crowd 
disgust	 curfew 
disgust	 curse, cuss, blaspheme, swear, imprecate 
disgust	 dainty, nice, overnice, prissy, squeamish 
disgust	 damage 
disgust	 damp, dampness, moistness 
disgust	 dander, hackles 
disgust	 dark 
disgust	 darkly, in_darkness 
disgust	 dated 
disgust	 dazed, stunned, stupefied, stupid(p) 
disgust	 debate, disputation, public_debate 
disgust	 defect, fault, flaw 
disgust	 delay, detain, hold_up 
disgust	 delay, hold, time_lag, postponement, wait 
disgust	 delete, cancel 
disgust	 deny 
disgust	 dependent 
disgust	 depreciate, undervalue, devaluate, devalue 
disgust	 despisal, despising 
disgust	 despiteful, spiteful, vindictive 
disgust	 detached, isolated, separated, set-apart 
disgust	 detestably, repulsively, abominably, odiously 
disgust	 difficulty 
disgust	 difficulty 
disgust	 digest, endure, stick_out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put_up 
disgust	 dim, subdued 
disgust	 dimly, murkily 
disgust	 dirty, filthy, lousy 
disgust	 dirty, soil, begrime, grime, colly, bemire 
disgust	 dirty, soiled, unclean 
disgust	 disability, disablement, handicap, impairment 
disgust	 disagreeable 
